Date,Rain_mm,APET_mm,Tmin_C,Tmax_C,Rad_MJ,RH
1889-04-25,0,2.5351,10.5,21.5,13,0.7496
1889-04-26,0,2.6301,10.5,22,14,0.736
1889-04-27,0,2.5038,10.5,21.5,13,0.7496
1889-04-28,0,2.497,10.5,21.5,13,0.6961
1889-04-29,23.3,2.4607,10,21.5,13,0.7054
1889-04-30,8,2.4252,10,21,13,0.7185
1889-05-01,0.3,2.4286,10.5,21,13,0.7089
1889-05-02,0,2.3153,10.5,20.5,12,0.7219
1889-05-03,0,2.3384,9.5,20.5,13,0.7418
1889-05-04,0.1,2.2464,9.5,20.5,12,0.7418
1889-05-05,0,2.1187,8.5,20.5,11,0.762
1889-05-06,0.1,2.2161,9,21,12,0.738
1889-05-07,6.5,2.2016,9.5,20.5,12,0.7418
1889-05-08,18.2,2.1684,9.5,20,12,0.7556
1889-05-09,11.7,2.0469,9,19.5,11,0.7803
1889-05-10,15.8,2.0335,9,19.5,11,0.7803
1889-05-11,7.3,1.9842,8.5,19,11,0.8058
1889-05-12,0.2,1.9715,9,18.5,11,0.8095
1889-05-13,0.2,1.958,8.5,19,11,0.8058
1889-05-14,0,1.963,9,19,11,0.7948
1889-05-15,0,1.9322,8.5,19,11,0.8058
1889-05-16,0,1.9018,8,19,11,0.817
1889-05-17,0,1.8892,8,19,11,0.817
1889-05-18,11.6,1.8916,8,19,11,0.7541
1889-05-19,6.4,1.8435,8.5,19,10,0.7438
1889-05-20,0.6,1.8796,8.5,18.5,11,0.6946
1889-05-21,0,1.8548,8.5,18.5,11,0.7577
1889-05-22,0,1.7593,8,18,10,0.7827
1889-05-23,0,1.7656,8.5,18,10,0.7719
1889-05-24,1,1.7216,7.5,18,10,0.7937
1889-05-25,16.2,1.7445,8,18.5,10,0.7683
1889-05-26,41.5,1.7181,8,18,10,0.7827
1889-05-27,3.7,1.7246,8,18.5,10,0.7683
1889-05-28,21.7,1.6988,8,18,10,0.7827
1889-05-29,28.8,1.6899,8.5,17.5,10,0.7862
1889-05-30,4.2,1.6647,8,17.5,10,0.7974
1889-05-31,9.6,1.614,8,17.5,9,0.7974
1889-06-01,6.6,1.5903,8,17,9,0.8123
1889-06-02,33,1.5669,7.5,17,9,0.8239
1889-06-03,5.2,1.5601,7.5,17,9,0.8239
1889-06-04,22.1,1.5535,7.5,17,9,0.8239
1889-06-05,15.2,1.5473,7.5,17,9,0.8239
1889-06-06,4.5,1.5489,7.5,16.5,9,0.7694
1889-06-07,16.6,1.5432,7.5,16.5,9,0.7694
1889-06-08,20,1.5532,7.5,17,9,0.7552
1889-06-09,10.3,1.5639,8,17,9,0.7446
1889-06-10,4.9,1.5434,7.5,17,9,0.7552
1889-06-11,23,1.5012,7.5,16.5,9,0.8393
1889-06-12,16.4,1.5286,8,17,9,0.8123
1889-06-13,0.2,1.5096,8,16.5,9,0.8274
1889-06-14,3.1,1.5064,8,16.5,9,0.8274
1889-06-15,0.9,1.488,7.5,16.5,9,0.8393
1889-06-16,0.7,1.4856,7.5,16.5,9,0.8393
1889-06-17,20.6,1.4989,7.5,17,9,0.8239
1889-06-18,27.3,1.4973,7.5,17,9,0.8239
1889-06-19,26.4,1.4505,7,16,9,0.8673
1889-06-20,0.4,1.4723,7,16,9,0.7951
1889-06-21,0.1,1.4493,7,16,9,0.8673
1889-06-22,0.2,1.4493,7,16,9,0.8673
1889-06-23,0.1,1.4496,7,16,9,0.8673
1889-06-24,0.1,1.4504,7,16,9,0.8673
1889-06-25,5.8,1.4516,7,16,9,0.8673
1889-06-26,0,1.4684,7.5,16,9,0.855
1889-06-27,28.5,1.4778,7,16,9,0.7951
1889-06-28,10.4,1.4801,7,16,9,0.7951
1889-06-29,0.2,1.4682,7,15.5,9,0.81
1889-06-30,0.2,1.4277,6,15,9,0.8494
1889-07-01,11.6,1.4744,6.5,16,9,0.8065
1889-07-02,0.2,1.4785,7,15.5,9,0.81
1889-07-03,0.2,1.4824,6.5,16,9,0.8065
1889-07-04,7.4,1.4869,6.5,16,9,0.8065
1889-07-05,1,1.4917,6.5,16,9,0.8065
1889-07-06,3.7,1.4969,6.5,16,9,0.8065
1889-07-07,1.6,1.4878,6.5,15.5,9,0.8217
1889-07-08,0.1,1.5142,6,15.5,10,0.8336
1889-07-09,0.3,1.521,6,15.5,10,0.8336
1889-07-10,0.1,1.5281,6,15.5,10,0.8336
1889-07-11,0.1,1.4829,5.5,15.5,9,0.8456
1889-07-12,0,1.5578,6.5,15.5,10,0.8217
1889-07-13,0,1.527,6.5,15.5,9,0.8217
1889-07-14,0,1.565,7,16,9,0.7951
1889-07-15,0,1.5729,7,16,9,0.7951
1889-07-16,0.3,1.6064,6.5,16,10,0.8065
1889-07-17,0.3,1.5736,6.5,16,9,0.8065
1889-07-18,10.6,1.6102,6.5,15.5,10,0.8217
1889-07-19,18.9,1.6048,6,15.5,10,0.8336
1889-07-20,0,1.6292,6,16,10,0.818
1889-07-21,0,1.6098,6,15,10,0.8494
1889-07-22,0,1.6494,6,16,10,0.818
1889-07-23,0.3,1.6598,6,16,10,0.818
1889-07-24,2.6,1.64,5.5,15.5,10,0.8456
1889-07-25,0,1.7024,6,15,11,0.8494
1889-07-26,7.8,1.6616,6,15,10,0.8494
1889-07-27,1.4,1.7556,6,16,11,0.818
1889-07-28,0.3,1.6984,6,15.5,10,0.8336
1889-07-29,7.3,1.6942,6,15,10,0.8494
1889-07-30,5,1.7774,6,15.5,11,0.8336
1889-07-31,0.6,1.7635,6.5,16,10,0.8065
1889-08-01,0.2,1.7871,6,15,11,0.8494
1889-08-02,0,1.8895,5.5,15.5,12,0.8456
1889-08-03,27.8,1.8274,6,15.5,11,0.8336
1889-08-04,11.3,1.9028,6,15.5,12,0.8336
1889-08-05,32.9,1.8526,6,15.5,11,0.8336
1889-08-06,7.9,1.9459,6,16,12,0.818
1889-08-07,3.7,1.8938,6,16,11,0.818
1889-08-08,5.8,1.9582,6,15.5,12,0.8336
1889-08-09,0.5,1.9878,6,16,12,0.818
1889-08-10,3.7,2.0017,6,16,12,0.818
1889-08-11,1.4,2.0274,6,15.5,12,0.8336
1889-08-12,0.2,2.0701,5.5,15.5,13,0.8456
1889-08-13,9.7,2.1164,5.5,16.5,13,0.8139
1889-08-14,0,2.1644,6.5,16.5,13,0.7915
1889-08-15,0.2,2.1628,6,16.5,13,0.8027
1889-08-16,0,2.1615,6,16,13,0.818
1889-08-17,0,2.193,6.5,16,13,0.8065
1889-08-18,28.7,2.2243,6.5,16.5,13,0.7915
1889-08-19,11.3,2.2391,6.5,16.5,13,0.7915
1889-08-20,8.3,2.2369,6.5,16,13,0.8065
1889-08-21,0.5,2.2177,6,15.5,13,0.8336
1889-08-22,0,2.2488,6.5,15.5,13,0.8217
1889-08-23,0,2.2798,6.5,16,13,0.8065
1889-08-24,0,2.2939,6.5,16,13,0.8065
1889-08-25,0,2.2904,6,16,13,0.818
1889-08-26,0.9,2.3505,6.5,16,13,0.8065
1889-08-27,0.5,2.3651,6.5,16,13,0.8065
1889-08-28,0,2.4393,6,16.5,14,0.8027
1889-08-29,4.4,2.4715,6.5,16.5,14,0.7915
1889-08-30,2.1,2.4684,6.5,16,14,0.8065
1889-08-31,0,2.4825,6.5,16,14,0.8065
1889-09-01,0,2.6095,6.5,16.5,15,0.7915
1889-09-02,11.8,2.5621,6.5,16.5,14,0.7915
1889-09-03,7.4,2.675,6.5,17.5,15,0.7622
1889-09-04,33,2.7084,7,17.5,15,0.7517
1889-09-05,8.8,2.723,7,17.5,15,0.7517
1889-09-06,0,2.756,7,18,15,0.7377
1889-09-07,11.5,2.8726,7,18,16,0.8047
1889-09-08,5.2,2.8686,7,17.5,16,0.82
1889-09-09,11.1,2.7557,7,17,15,0.8356
1889-09-10,0.2,2.8973,7,17.5,16,0.82
1889-09-11,0,2.8925,7,17,16,0.8356
1889-09-12,0,2.9058,6.5,17.5,16,0.8314
1889-09-13,0,2.9585,7.5,17.5,16,0.8087
1889-09-14,0,2.9715,7,18,16,0.8047
1889-09-15,0,3.0051,8,17.5,16,0.7974
1889-09-16,6.1,2.9983,7.5,17.5,16,0.8087
1889-09-17,0.9,3.0111,7.5,17.5,16,0.8087
1889-09-18,0.2,3.0435,7.5,18,16,0.7937
1889-09-19,0,3.1738,7.5,18,17,0.7937
1889-09-20,0,3.1864,7,18.5,17,0.7897
1889-09-21,11.8,3.1993,7,18.5,17,0.7897
1889-09-22,4.3,3.3262,7,18.5,18,0.7239
1889-09-23,0.2,3.3199,7,18,18,0.7377
1889-09-24,0,3.3588,7,18.5,18,0.7897
1889-09-25,20.6,3.3515,7,18,18,0.8047
1889-09-26,3.9,3.3846,7.5,18,18,0.7937
1889-09-27,2.3,3.272,7,18.5,17,0.7897
1889-09-28,0,3.2633,7.5,17.5,17,0.8087
1889-09-29,0,3.2949,7.5,18,17,0.7937
1889-09-30,0,3.4952,8,19,18,0.7541
1889-10-01,3.6,3.4858,8,18.5,18,0.7683
1889-10-02,0.1,3.6465,8,19,19,0.7541
1889-10-03,19,3.6373,8,18.5,19,0.7683
1889-10-04,17.3,3.6699,8,19,19,0.7541
1889-10-05,23.9,3.7027,8,19.5,19,0.7401
1889-10-06,0,3.6707,7.5,19,19,0.7644
1889-10-07,0.1,3.682,8,18.5,19,0.7683
1889-10-08,0,3.7141,8,19,19,0.7541
1889-10-09,0,3.9235,8.5,20,20,0.7167
1889-10-10,0.1,3.9121,8,20,20,0.7264
1889-10-11,0,3.9118,8,20,20,0.6658
1889-10-12,1,4.1141,9,20,21,0.707
1889-10-13,0,4.1024,8.5,20,21,0.7167
1889-10-14,0.2,3.9988,8.5,20.5,20,0.7034
1889-10-15,13,4.1459,8.5,20.5,21,0.7034
1889-10-16,0,4.1562,8.5,20.5,21,0.7034
1889-10-17,0,4.3084,8.5,21,22,0.6328
1889-10-18,4.3,4.3191,8.5,21,22,0.6328
1889-10-19,32.5,4.3528,9,21,22,0.6245
1889-10-20,2.4,4.4508,9,22.5,22,0.6441
1889-10-21,0.4,4.6025,9.5,22,23,0.6478
1889-10-22,0,4.4947,9.5,22.5,22,0.6358
1889-10-23,1.6,4.4807,9.5,22,22,0.6478
1889-10-24,12.7,4.4899,9.5,22,22,0.6478
1889-10-25,8.3,4.4755,9.5,21.5,22,0.6599
1889-10-26,3,4.3179,9.5,21,21,0.6722
1889-10-27,0.1,4.6367,9.5,21.5,23,0.6599
1889-10-28,0,4.622,9.5,21,23,0.6722
1889-10-29,0,4.7751,9,21.5,24,0.6687
1889-10-30,0,4.8308,10,22,24,0.586
1889-10-31,0,4.6982,10,22,23,0.586
1889-11-01,1.3,4.7058,9.5,22.5,23,0.5828
1889-11-02,23,4.7386,10,22.5,23,0.5753
1889-11-03,10.4,4.6208,10.5,22,22,0.6309
1889-11-04,0.2,4.653,11,22,22,0.6225
1889-11-05,0,4.684,9,21.5,23,0.6687
1889-11-06,0,4.7395,9.5,22,23,0.6478
1889-11-07,0,4.7955,10,22.5,23,0.6276
1889-11-08,0,5.022,10.5,23,24,0.6588
1889-11-09,2.1,5.0325,10.5,23.5,24,0.597
1889-11-10,0,5.0392,10.5,23.5,24,0.597
1889-11-11,0,5.0967,11,24,24,0.5785
1889-11-12,1.2,5.1032,11,24,24,0.5785
1889-11-13,2.3,5.1349,11,24.5,24,0.568
1889-11-14,0,4.9652,11,24,23,0.5785
1889-11-15,0.2,5.1679,11.5,24,24,0.6187
1889-11-16,0,5.1993,11.5,24.5,24,0.6075
1889-11-17,0,5.2047,11.5,24.5,24,0.6075
1889-11-18,0,5.3402,11.5,24,25,0.6187
1889-11-19,0.5,5.3736,12,24.5,25,0.5536
1889-11-20,0,5.3782,11.5,25,25,0.5506
1889-11-21,0,5.4094,11.5,25.5,25,0.5405
1889-11-22,0,5.5944,12,25.5,26,0.5338
1889-11-23,0,5.6265,12.5,25.5,26,0.527
1889-11-24,0,5.5018,12.5,25.5,25,0.571
1889-11-25,0,5.4558,12.5,25,25,0.5367
1889-11-26,0.2,5.5133,12.5,26,25,0.5175
1889-11-27,0,5.4606,12,25,25,0.5889
1889-11-28,0,5.4112,11.5,24.5,25,0.6075
1889-11-29,0,5.468,12,25,25,0.5889
1889-11-30,8.9,5.4715,12,25,25,0.5889
1889-12-01,0.6,5.633,11.5,25.5,26,0.5856
1889-12-02,2.1,5.4772,11.5,25.5,25,0.5856
1889-12-03,0,5.6659,11.5,26,26,0.5749
1889-12-04,8.4,5.9375,12.5,27,27,0.5406
1889-12-05,0,5.9396,12,27.5,27,0.5373
1889-12-06,0,5.967,13,27.5,27,0.4839
1889-12-07,0,6.0013,13,27.5,27,0.5243
1889-12-08,0,5.7884,12.5,27.5,26,0.4899
1889-12-09,0,5.9746,13,27.5,27,0.4839
1889-12-10,0,5.7935,13,27,26,0.4928
1889-12-11,0,5.9788,13,27.5,27,0.4839
1889-12-12,0,5.9798,12.5,28,27,0.481
1889-12-13,0,6.202,13,28,28,0.5148
1889-12-14,0,6.1281,13.5,28.5,27,0.5378
1889-12-15,0,6.3516,14,29,28,0.5217
1889-12-16,0,6.3236,13.5,29,28,0.5281
1889-12-17,0,6.3206,14,29,28,0.4845
1889-12-18,0,6.3506,14.5,29,28,0.4786
1889-12-19,0,6.3513,14.5,29,28,0.4786
1889-12-20,0,6.1326,13.5,29,27,0.4904
1889-12-21,0,6.1048,13.5,28.5,27,0.4994
1889-12-22,0,6.3004,14.5,27.5,28,0.5439
1889-12-23,0,6.1344,14,28,27,0.5409
1889-12-24,0,6.2705,13.5,28,28,0.5476
1889-12-25,0,6.298,13.5,28.5,28,0.5378
1889-12-26,0,6.1326,14,28.5,27,0.4933
1889-12-27,0,6.1607,14,28.5,27,0.5313
1889-12-28,0,6.1598,14,28.5,27,0.5313
1889-12-29,0,6.1588,14,28.5,27,0.5313
1889-12-30,0,6.4108,14.5,29,28,0.5522
1889-12-31,0,6.4381,14.5,29.5,28,0.5424
1890-01-01,0,6.4657,15,29.5,28,0.5358
1890-01-02,0,6.4928,15,30,28,0.5263
1890-01-03,0,6.52,15,30.5,28,0.517
1890-01-04,0,6.4274,14.5,30,28,0.4972
1890-01-05,0,6.4538,14.5,30.5,28,0.4883
1890-01-06,0,6.5781,15,30,29,0.4562
1890-01-07,0,6.6792,15.5,30,29,0.52
1890-01-08,1.4,6.6174,15,29.5,29,0.5358
1890-01-09,0,6.5048,15.5,30,28,0.52
1890-01-10,0,6.5005,15,30.5,28,0.517
1890-01-11,0,6.468,15,30,28,0.5263
1890-01-12,0,6.4933,15,30.5,28,0.517
1890-01-13,0,6.4282,15,30,28,0.4912
1890-01-14,0,6.3953,15,29.5,28,0.5001
1890-01-15,0,6.2281,15,29.5,27,0.5001
1890-01-16,0,6.2525,15,30,27,0.4912
1890-01-17,0,6.2764,15,30,27,0.5263
1890-01-18,0,6.3007,15,30.5,27,0.517
1890-01-19,1.4,6.5209,15.5,31,28,0.5018
1890-01-20,0,6.5174,15.5,30.5,28,0.5449
1890-01-21,0,6.512,15.5,30.5,28,0.5449
1890-01-22,0,6.337,15.5,30.5,27,0.5449
1890-01-23,0,6.275,15.5,30,27,0.52
1890-01-24,0,6.2099,15,30,27,0.4912
1890-01-25,0,6.3927,15,30.5,28,0.4825
1890-01-26,0,6.2257,15,30.5,27,0.4825
1890-01-27,0,6.443,15.5,30.5,28,0.5108
1890-01-28,0,6.3003,15.5,30.5,27,0.5449
1890-01-29,0,6.3528,16,31,27,0.5288
1890-01-30,0,6.4028,16.5,31,27,0.5552
1890-01-31,0,6.3385,16,31.5,27,0.487
1890-02-01,0,6.1645,16,31,26,0.5288
1890-02-02,0,6.1317,16,31,26,0.4958
1890-02-03,0.1,6.1238,16,31,26,0.4958
1890-02-04,2.8,6.0865,16,30.5,26,0.5047
1890-02-05,0,6.0781,16,30.5,26,0.5047
1890-02-06,0,5.8797,15.5,30.5,25,0.5108
1890-02-07,0,5.8712,15.5,30.5,25,0.5108
1890-02-08,0,5.8625,15.5,30.5,25,0.5108
1890-02-09,0,5.8536,15.5,30.5,25,0.5108
1890-02-10,0,5.9739,15.5,30.5,26,0.4768
1890-02-11,0.2,5.8358,16,30,25,0.5137
1890-02-12,0,5.7394,15,29.5,25,0.5358
1890-02-13,0,5.7046,15,29.5,25,0.5001
1890-02-14,0,5.7187,14.5,30,25,0.5327
1890-02-15,0,5.5039,15,29,24,0.5091
1890-02-16,0,5.6709,15,29,25,0.5455
1890-02-17,0,5.5377,14.5,30.5,24,0.4883
1890-02-18,0,5.5276,15,30,24,0.4912
1890-02-19,0,5.5678,15.5,30,24,0.52
1890-02-20,0,5.5565,15.5,30,24,0.52
1890-02-21,0,5.3734,15.5,30,23,0.4853
1890-02-22,0,5.5332,15.5,30,24,0.52
1890-02-23,0,5.4158,16,30,23,0.5479
1890-02-24,0,5.2777,16,30.5,22,0.5383
1890-02-25,0,5.3743,16,30,23,0.5137
1890-02-26,0,5.3619,16,30,23,0.5137
1890-02-27,0,5.3679,16,30,23,0.5479
1890-02-28,0,5.3362,16,30,23,0.5137
1890-03-01,0,5.3221,15.5,30.5,23,0.5108
1890-03-02,0,5.105,15,30,22,0.5263
1890-03-03,0,5.267,15.5,30,23,0.52
1890-03-04,0,5.0793,15.5,29.5,22,0.5293
1890-03-05,0,5.2111,15.5,29.5,23,0.5293
1890-03-06,0,4.9965,15,29,22,0.5455
1890-03-07,0,4.9555,15,28.5,22,0.5553
1890-03-08,0.4,4.9303,14.5,28.5,22,0.5997
1890-03-09,0,4.8728,14.5,28,22,0.5724
1890-03-10,0,4.6745,14,28,21,0.5409
1890-03-11,0,4.6598,14,28,21,0.5409
1890-03-12,0,4.509,14,28,20,0.5409
1890-03-13,0,4.5857,13.5,28,21,0.5085
1890-03-14,0,4.604,14,27.5,21,0.5901
1890-03-15,0,4.5886,14,27.5,21,0.5901
1890-03-16,0,4.4096,14,27,20,0.6008
1890-03-17,0,4.4464,14.5,27.5,20,0.5827
1890-03-18,0,4.3537,14,26.5,20,0.6116
1890-03-19,0,4.3,13.5,26.5,20,0.5781
1890-03-20,0,4.2838,13.5,26.5,20,0.5781
1890-03-21,0,4.2513,13,27,20,0.5339
1890-03-22,0,4.1112,13,27,19,0.5339
1890-03-23,0,4.1057,13,27,19,0.575
1890-03-24,0,4.0397,12.5,26.5,19,0.5929
1890-03-25,0,4.0238,13,26,19,0.5962
1890-03-26,0,3.8341,12.5,25.5,18,0.6149
1890-03-27,0,3.7943,12.5,25,18,0.6261
1890-03-28,0,3.7773,12,25.5,18,0.6227
1890-03-29,0,3.7375,12,25,18,0.6342
1890-03-30,0,3.7439,12,25.5,18,0.6227
1890-03-31,0,3.7037,12,25,18,0.6342
1890-04-01,0,3.5911,12,25.5,17,0.6227
1890-04-02,0,3.5745,12,25.5,17,0.6227
1890-04-03,0,3.4184,12,25,16,0.6342
1890-04-04,0,3.4024,12,25,16,0.6342
1890-04-05,0,3.3868,12.5,24.5,16,0.6375
1890-04-06,0,3.3469,12,24.5,16,0.6459
1890-04-07,2.1,3.3536,12.5,24.5,16,0.6375
1890-04-08,0,3.2492,12.5,25,15,0.6261
1890-04-09,0,3.2341,13.5,24,15,0.6322
1890-04-10,0,3.1257,12,23.5,15,0.6697
1890-04-11,0,3.0874,12,23,15,0.6819
1890-04-12,0,2.9646,12,23,14,0.6819
1890-04-13,0,3.054,11.5,23.5,15,0.6786
1890-04-14,0,3.0373,11.5,23.5,15,0.6786
1890-04-15,0,3.0203,11.5,23.5,15,0.6786
1890-04-16,0,2.9014,11.5,23.5,14,0.6786
1890-04-17,0,2.8853,11.5,23.5,14,0.6786
1890-04-18,0,2.8695,12,23,14,0.6819
1890-04-19,0,2.8099,11.5,22.5,14,0.7037
1890-04-20,0,2.7935,11.5,22.5,14,0.7037
1890-04-21,0,2.7555,11,22.5,14,0.7131
1890-04-22,0,2.7393,11.5,22,14,0.7165
1890-04-23,0,2.66,10,22,14,0.7458
1890-04-24,0,2.5606,10,22,13,0.6926
1890-04-25,0,2.5351,10.5,21.5,13,0.7496
1890-04-26,0,2.5195,10.5,21.5,13,0.7496
1890-04-27,0,2.4834,10,21.5,13,0.7597
1890-04-28,0,2.5168,10.5,22,13,0.6834
1890-04-29,0,2.4217,9.5,21,13,0.7283
1890-04-30,0,2.4252,10,21,13,0.7185
1890-05-01,0,2.4281,10,21.5,13,0.7054
1890-05-02,0,2.3149,10,21,12,0.7185
1890-05-03,0,2.2421,9,20.5,12,0.7519
1890-05-04,1,2.2273,9,20.5,12,0.7519
1890-05-05,0.3,2.2125,9,20.5,12,0.7519
1890-05-06,0,2.1976,9,20.5,12,0.7519
1890-05-07,0,2.2016,9.5,20.5,12,0.7418
1890-05-08,19.2,2.1162,9.5,20.5,11,0.7418
1890-05-09,0,2.084,9.5,20,11,0.7556
1890-05-10,13.5,2.0708,10,19.5,11,0.759
1890-05-11,24.5,2.0023,9,19,11,0.7948
1890-05-12,5.9,2.0074,9.5,19,11,0.7838
1890-05-13,3.3,1.9938,9,19.5,11,0.7803
1890-05-14,0,1.963,9,19,11,0.7948
1890-05-15,0.4,1.9322,8.5,19,11,0.8058
1890-05-16,0.2,1.9367,8.5,19.5,11,0.791
1890-05-17,0.4,1.924,8.5,19.5,11,0.791
1890-05-18,6.9,1.9088,8.5,19,11,0.7438
1890-05-19,11.1,1.8608,8.5,19.5,10,0.7302
1890-05-20,2.5,1.8322,8.5,19,10,0.7438
1890-05-21,23.3,1.8714,8.5,19,11,0.7438
1890-05-22,0,1.7931,8.5,18.5,10,0.7577
1890-05-23,0.8,1.7487,8,18,10,0.7827
